# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
201            	1.3443968e+00	6.8447398e-01	6.5992280e-01	-2.4551184e+00	-1.4733917e+00	-9.8172664e-01	-2.4583253e-01	1.2275592e-02	6.7219839e-03	-4.2188818e-20	6.7219839e-03	-6.7219839e-03
202            	1.3483181e+00	6.8646320e-01	6.6185492e-01	-2.4608277e+00	-1.4698745e+00	-9.9095320e-01	-2.3946064e-01	1.2304138e-02	6.7415906e-03	2.2209182e-21	6.7415906e-03	-6.7415906e-03
203            	1.3521591e+00	6.8841134e-01	6.6374773e-01	-2.4663605e+00	-1.4662107e+00	-1.0001497e+00	-2.3303051e-01	1.2331802e-02	6.7607954e-03	4.9829270e-20	6.7607954e-03	-6.7607954e-03
204            	1.3559422e+00	6.9032980e-01	6.6561239e-01	-2.4717405e+00	-1.4624279e+00	-1.0093126e+00	-2.2655762e-01	1.2358702e-02	6.7797109e-03	2.7569925e-20	6.7797109e-03	-6.7797109e-03
205            	1.3595683e+00	6.9216825e-01	6.6740004e-01	-2.4768207e+00	-1.4584479e+00	-1.0183728e+00	-2.2003752e-01	1.2384103e-02	6.7978415e-03	7.7139922e-20	6.7978415e-03	-6.7978415e-03
206            	1.3630488e+00	6.9393237e-01	6.6911642e-01	-2.4815941e+00	-1.4542706e+00	-1.0273235e+00	-2.1347354e-01	1.2407971e-02	6.8152440e-03	1.5578266e-19	6.8152440e-03	-6.8152440e-03
207            	1.3663526e+00	6.9560630e-01	6.7074632e-01	-2.4859978e+00	-1.4498654e+00	-1.0361325e+00	-2.0686644e-01	1.2429989e-02	6.8317631e-03	1.7696019e-19	6.8317631e-03	-6.8317631e-03
208            	1.3693074e+00	6.9710243e-01	6.7220502e-01	-2.4897410e+00	-1.4450166e+00	-1.0447244e+00	-2.0014610e-01	1.2448705e-02	6.8465372e-03	1.9478309e-19	6.8465372e-03	-6.8465372e-03
209            	1.3720161e+00	6.9847295e-01	6.7354319e-01	-2.4929759e+00	-1.4398627e+00	-1.0531132e+00	-1.9337475e-01	1.2464880e-02	6.8600807e-03	2.3141733e-19	6.8600807e-03	-6.8600807e-03
210            	1.3744299e+00	6.9969308e-01	6.7473678e-01	-2.4956303e+00	-1.4343807e+00	-1.0612496e+00	-1.8656555e-01	1.2478151e-02	6.8721493e-03	2.3693136e-19	6.8721493e-03	-6.8721493e-03
211            	1.3766778e+00	7.0082843e-01	6.7584941e-01	-2.4979021e+00	-1.4286780e+00	-1.0692242e+00	-1.7972688e-01	1.2489511e-02	6.8833892e-03	2.6316960e-19	6.8833892e-03	-6.8833892e-03
212            	1.3786950e+00	7.0184594e-01	6.7684903e-01	-2.4996910e+00	-1.4227433e+00	-1.0769477e+00	-1.7289778e-01	1.2498455e-02	6.8934748e-03	2.8971340e-19	6.8934748e-03	-6.8934748e-03
213            	1.3804365e+00	7.0272290e-01	6.7771358e-01	-2.5009321e+00	-1.4165451e+00	-1.0843870e+00	-1.6607902e-01	1.2504660e-02	6.9021824e-03	3.0779239e-19	6.9021824e-03	-6.9021824e-03
