# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
12223          	6.5359004e-01	3.3227023e-01	3.2131980e-01	-1.0950428e+00	-6.6294353e-01	-4.3209927e-01	-1.1542213e-01	5.4752140e-03	3.2679502e-03	1.2239221e-18	3.2679502e-03	-3.2679502e-03
12224          	6.5444380e-01	3.3270452e-01	3.2173928e-01	-1.0965238e+00	-6.6359175e-01	-4.3293206e-01	-1.1532984e-01	5.4826191e-03	3.2722190e-03	1.2283814e-18	3.2722190e-03	-3.2722190e-03
12225          	6.5528856e-01	3.3313421e-01	3.2215435e-01	-1.0979869e+00	-6.6422873e-01	-4.3375816e-01	-1.1523528e-01	5.4899344e-03	3.2764428e-03	1.2310215e-18	3.2764428e-03	-3.2764428e-03
12226          	6.5612533e-01	3.3355983e-01	3.2256550e-01	-1.0994336e+00	-6.6485424e-01	-4.3457932e-01	-1.1513746e-01	5.4971678e-03	3.2806267e-03	1.2332281e-18	3.2806267e-03	-3.2806267e-03
12227          	6.5695672e-01	3.3398270e-01	3.2297402e-01	-1.1008684e+00	-6.6547083e-01	-4.3539752e-01	-1.1503665e-01	5.5043418e-03	3.2847836e-03	1.2402578e-18	3.2847836e-03	-3.2847836e-03
12228          	6.5781288e-01	3.3441815e-01	3.2339473e-01	-1.1023425e+00	-6.6610342e-01	-4.3623912e-01	-1.1493215e-01	5.5117127e-03	3.2890644e-03	1.2444368e-18	3.2890644e-03	-3.2890644e-03
12229          	6.5866126e-01	3.3484963e-01	3.2381163e-01	-1.1038001e+00	-6.6672492e-01	-4.3707520e-01	-1.1482486e-01	5.5190006e-03	3.2933063e-03	1.2513307e-18	3.2933063e-03	-3.2933063e-03
12230          	6.5950628e-01	3.3527938e-01	3.2422690e-01	-1.1052487e+00	-6.6734001e-01	-4.3790867e-01	-1.1471567e-01	5.5262434e-03	3.2975314e-03	1.2527182e-18	3.2975314e-03	-3.2975314e-03
12231          	6.6035256e-01	3.3570977e-01	3.2464280e-01	-1.1066966e+00	-6.6795438e-01	-4.3874223e-01	-1.1460608e-01	5.5334830e-03	3.3017628e-03	1.2548000e-18	3.3017628e-03	-3.3017628e-03
12232          	6.6120460e-01	3.3614306e-01	3.2506154e-01	-1.1081518e+00	-6.6857291e-01	-4.3957889e-01	-1.1449701e-01	5.5407590e-03	3.3060230e-03	1.2576923e-18	3.3060230e-03	-3.3060230e-03
12233          	6.6206600e-01	3.3658110e-01	3.2548490e-01	-1.1096207e+00	-6.6919910e-01	-4.4042156e-01	-1.1438877e-01	5.5481033e-03	3.3103300e-03	1.2633113e-18	3.3103300e-03	-3.3103300e-03
12234          	6.6293341e-01	3.3702219e-01	3.2591122e-01	-1.1110973e+00	-6.6982984e-01	-4.4126747e-01	-1.1428118e-01	5.5554865e-03	3.3146671e-03	1.2645428e-18	3.3146671e-03	-3.3146671e-03
12235          	6.6377744e-01	3.3745138e-01	3.2632606e-01	-1.1125325e+00	-6.7044324e-01	-4.4208924e-01	-1.1417700e-01	5.5626624e-03	3.3188872e-03	1.2660101e-18	3.3188872e-03	-3.3188872e-03
12236          	6.6463118e-01	3.3788551e-01	3.2674568e-01	-1.1139831e+00	-6.7106835e-01	-4.4291471e-01	-1.1407682e-01	5.5699153e-03	3.3231559e-03	1.2716882e-18	3.3231559e-03	-3.3231559e-03
12237          	6.6549063e-01	3.3832253e-01	3.2716810e-01	-1.1154424e+00	-6.7170194e-01	-4.4374041e-01	-1.1398076e-01	5.5772118e-03	3.3274531e-03	1.2802417e-18	3.3274531e-03	-3.3274531e-03
12238          	6.6635206e-01	3.3876055e-01	3.2759151e-01	-1.1169042e+00	-6.7234079e-01	-4.4456341e-01	-1.1388869e-01	5.5845210e-03	3.3317603e-03	1.2917792e-18	3.3317603e-03	-3.3317603e-03
12239          	6.6721268e-01	3.3919816e-01	3.2801452e-01	-1.1183640e+00	-6.7298428e-01	-4.4537973e-01	-1.1380227e-01	5.5918200e-03	3.3360634e-03	1.2955059e-18	3.3360634e-03	-3.3360634e-03
