# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
1              	3.2770560e+01	1.6664792e+01	1.6105768e+01	-5.5902468e+01	-2.7894680e+01	-2.8007788e+01	5.6554269e-02	2.7951234e-01	1.6385280e-01	-9.9971621e-19	1.6385280e-01	-1.6385280e-01
2              	5.0369308e+01	2.5613459e+01	2.4755849e+01	-8.5760929e+01	-4.2784851e+01	-4.2976078e+01	9.5613439e-02	4.2880465e-01	2.5184654e-01	-1.0456322e-18	2.5184654e-01	-2.5184654e-01
3              	5.5380817e+01	2.8161334e+01	2.7219483e+01	-9.4185063e+01	-4.7030457e+01	-4.7154606e+01	6.2074324e-02	4.7092532e-01	2.7690408e-01	-1.1475893e-18	2.7690408e-01	-2.7690408e-01
4              	5.1104922e+01	2.5986459e+01	2.5118464e+01	-8.6799483e+01	-4.3446949e+01	-4.3352535e+01	-4.7207024e-02	4.3399742e-01	2.5552461e-01	-1.7717257e-18	2.5552461e-01	-2.5552461e-01
5              	4.0425593e+01	2.0555471e+01	1.9870122e+01	-6.8534932e+01	-3.4476911e+01	-3.4058021e+01	-2.0944520e-01	3.4267466e-01	2.0212797e-01	1.3150292e-18	2.0212797e-01	-2.0212797e-01
6              	2.6005565e+01	1.3222354e+01	1.2783210e+01	-4.3914383e+01	-2.2385706e+01	-2.1528677e+01	-4.2851424e-01	2.1957191e-01	1.3002782e-01	2.6118307e-18	1.3002782e-01	-1.3002782e-01
7              	1.0515818e+01	5.3457463e+00	5.1700716e+00	-1.7567478e+01	-9.3625451e+00	-8.2049334e+00	-5.7880584e-01	8.7837392e-02	5.2579090e-02	4.5530520e-18	5.2579090e-02	-5.2579090e-02
8              	-3.9660873e+00	-2.0187494e+00	-1.9473379e+00	7.1411498e+00	2.7036840e+00	4.4374658e+00	-8.6689090e-01	-3.5705749e-02	-1.9830436e-02	5.9653827e-18	-1.9830436e-02	1.9830436e-02
9              	-1.5390301e+01	-7.8280043e+00	-7.5622971e+00	2.6570713e+01	1.2292726e+01	1.4277987e+01	-9.9263007e-01	-1.3285356e-01	-7.6951507e-02	8.0317320e-18	-7.6951507e-02	7.6951507e-02
10             	-2.2893205e+01	-1.1643053e+01	-1.1250152e+01	3.9290176e+01	1.8564887e+01	2.0725289e+01	-1.0802007e+00	-1.9645088e-01	-1.1446602e-01	8.5610140e-18	-1.1446602e-01	1.1446602e-01
