# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
87             	8.0606564e-01	4.1017786e-01	3.9588778e-01	-1.4290087e+00	-1.0623136e+00	-3.6669516e-01	-3.4780920e-01	7.1450436e-03	4.0303282e-03	-9.9936075e-19	4.0303282e-03	-4.0303282e-03
88             	8.0760933e-01	4.1097340e-01	3.9663593e-01	-1.4337473e+00	-1.0654105e+00	-3.6833678e-01	-3.4853687e-01	7.1687366e-03	4.0380466e-03	-1.0019114e-18	4.0380466e-03	-4.0380466e-03
89             	8.0953960e-01	4.1196516e-01	3.9757444e-01	-1.4390719e+00	-1.0685858e+00	-3.7048612e-01	-3.4904982e-01	7.1953594e-03	4.0476980e-03	-9.9651663e-19	4.0476980e-03	-4.0476980e-03
90             	8.1183435e-01	4.1314187e-01	3.9869248e-01	-1.4449386e+00	-1.0718481e+00	-3.7309048e-01	-3.4937882e-01	7.2246929e-03	4.0591718e-03	-1.0035112e-18	4.0591718e-03	-4.0591718e-03
91             	8.1450412e-01	4.1450890e-01	3.9999522e-01	-1.4513685e+00	-1.0752129e+00	-3.7615564e-01	-3.4952863e-01	7.2568427e-03	4.0725206e-03	-9.9603919e-19	4.0725206e-03	-4.0725206e-03
92             	8.1744384e-01	4.1601317e-01	4.0143067e-01	-1.4582498e+00	-1.0786290e+00	-3.7962079e-01	-3.4950412e-01	7.2912491e-03	4.0872192e-03	-1.0019165e-18	4.0872192e-03	-4.0872192e-03
93             	8.2049751e-01	4.1757571e-01	4.0292180e-01	-1.4653912e+00	-1.0820866e+00	-3.8330457e-01	-3.4939100e-01	7.3269558e-03	4.1024876e-03	-1.0014107e-18	4.1024876e-03	-4.1024876e-03
94             	8.2356108e-01	4.1914360e-01	4.0441748e-01	-1.4726117e+00	-1.0855668e+00	-3.8704488e-01	-3.4926098e-01	7.3630585e-03	4.1178054e-03	-1.0064741e-18	4.1178054e-03	-4.1178054e-03
95             	8.2653746e-01	4.2066753e-01	4.0586993e-01	-1.4797595e+00	-1.0890414e+00	-3.9071813e-01	-3.4916162e-01	7.3987975e-03	4.1326873e-03	-1.0119457e-18	4.1326873e-03	-4.1326873e-03
96             	8.2938310e-01	4.2212542e-01	4.0725768e-01	-1.4867744e+00	-1.0924540e+00	-3.9432044e-01	-3.4906676e-01	7.4338720e-03	4.1469155e-03	-1.0244893e-18	4.1469155e-03	-4.1469155e-03
97             	8.3205478e-01	4.2349499e-01	4.0855978e-01	-1.4935209e+00	-1.0957793e+00	-3.9774165e-01	-3.4901881e-01	7.4676046e-03	4.1602739e-03	-1.0355727e-18	4.1602739e-03	-4.1602739e-03
98             	8.3468046e-01	4.2484112e-01	4.0983934e-01	-1.5001773e+00	-1.0990763e+00	-4.0110102e-01	-3.4898765e-01	7.5008867e-03	4.1734023e-03	-1.0448537e-18	4.1734023e-03	-4.1734023e-03
99             	8.3732114e-01	4.2619470e-01	4.1112644e-01	-1.5068260e+00	-1.1023926e+00	-4.0443335e-01	-3.4897963e-01	7.5341298e-03	4.1866057e-03	-1.0537497e-18	4.1866057e-03	-4.1866057e-03
100            	8.3999943e-01	4.2756749e-01	4.1243194e-01	-1.5135550e+00	-1.1057623e+00	-4.0779271e-01	-3.4898480e-01	7.5677751e-03	4.1999971e-03	-1.0608418e-18	4.1999971e-03	-4.1999971e-03
