# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
20001          	6.5265584e-01	3.3179499e-01	3.2086085e-01	-1.0934137e+00	-6.6222820e-01	-4.3118550e-01	-1.1552135e-01	5.4670685e-03	3.2632792e-03	1.2194109e-18	3.2632792e-03	-3.2632792e-03
20002          	6.5352192e-01	3.3223555e-01	3.2128637e-01	-1.0949183e+00	-6.6289035e-01	-4.3202798e-01	-1.1543119e-01	5.4745917e-03	3.2676096e-03	1.2235286e-18	3.2676096e-03	-3.2676096e-03
20003          	6.5437659e-01	3.3267030e-01	3.2170629e-01	-1.0964009e+00	-6.6353953e-01	-4.3286135e-01	-1.1533909e-01	5.4820044e-03	3.2718829e-03	1.2280094e-18	3.2718829e-03	-3.2718829e-03
20004          	6.5522200e-01	3.3310033e-01	3.2212168e-01	-1.0978651e+00	-6.6417732e-01	-4.3368782e-01	-1.1524475e-01	5.4893257e-03	3.2761100e-03	1.2309350e-18	3.2761100e-03	-3.2761100e-03
20005          	6.5605950e-01	3.3352632e-01	3.2253319e-01	-1.0993131e+00	-6.6480375e-01	-4.3450935e-01	-1.1514720e-01	5.4965655e-03	3.2802975e-03	1.2330783e-18	3.2802975e-03	-3.2802975e-03
20006          	6.5689129e-01	3.3394939e-01	3.2294190e-01	-1.1007486e+00	-6.6542094e-01	-4.3532770e-01	-1.1504662e-01	5.5037432e-03	3.2844565e-03	1.2399189e-18	3.2844565e-03	-3.2844565e-03
20007          	6.5774731e-01	3.3438477e-01	3.2336254e-01	-1.1022227e+00	-6.6605371e-01	-4.3616896e-01	-1.1494237e-01	5.5111134e-03	3.2887366e-03	1.2438566e-18	3.2887366e-03	-3.2887366e-03
20008          	6.5859474e-01	3.3481576e-01	3.2377898e-01	-1.1036787e+00	-6.6667461e-01	-4.3700410e-01	-1.1483525e-01	5.5183935e-03	3.2929737e-03	1.2507513e-18	3.2929737e-03	-3.2929737e-03
20009          	6.5943806e-01	3.3524465e-01	3.2419341e-01	-1.1051244e+00	-6.6728830e-01	-4.3783613e-01	-1.1472608e-01	5.5256221e-03	3.2971903e-03	1.2530799e-18	3.2971903e-03	-3.2971903e-03
20010          	6.6028212e-01	3.3567390e-01	3.2460822e-01	-1.1065686e+00	-6.6790068e-01	-4.3866791e-01	-1.1461638e-01	5.5328430e-03	3.3014106e-03	1.2546827e-18	3.3014106e-03	-3.3014106e-03
