# Force and moment coefficients
# dragDir      : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# sideDir      : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# liftDir      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# rollAxis     : (1.0000000e+00 0.0000000e+00 0.0000000e+00)
# pitchAxis    : (0.0000000e+00 0.0000000e+00 -1.0000000e+00)
# yawAxis      : (0.0000000e+00 1.0000000e+00 0.0000000e+00)
# magUInf      : 7.5000000e-01
# lRef         : 1.0000000e+00
# Aref         : 1.0000000e-02
# CofR         : (0.0000000e+00 0.0000000e+00 0.0000000e+00)
#
# Time         	Cd             	Cd(f)          	Cd(r)          	Cl             	Cl(f)          	Cl(r)          	CmPitch        	CmRoll         	CmYaw          	Cs             	Cs(f)          	Cs(r)          
6001           	6.8702913e-01	3.4926706e-01	3.3776208e-01	-1.1504977e+00	-6.8488447e-01	-4.6561321e-01	-1.0963563e-01	5.7524884e-03	3.4351457e-03	1.4447847e-18	3.4351457e-03	-3.4351457e-03
6002           	6.8688954e-01	3.4919569e-01	3.3769385e-01	-1.1501834e+00	-6.8468017e-01	-4.6550320e-01	-1.0958849e-01	5.7509168e-03	3.4344477e-03	1.4435204e-18	3.4344477e-03	-3.4344477e-03
6003           	6.8674311e-01	3.4912085e-01	3.3762226e-01	-1.1498590e+00	-6.8447525e-01	-4.6538376e-01	-1.0954575e-01	5.7492951e-03	3.4337156e-03	1.4393422e-18	3.4337156e-03	-3.4337156e-03
6004           	6.8659808e-01	3.4904674e-01	3.3755135e-01	-1.1495392e+00	-6.8427690e-01	-4.6526229e-01	-1.0950730e-01	5.7476959e-03	3.4329904e-03	1.4354665e-18	3.4329904e-03	-3.4329904e-03
6005           	6.8646099e-01	3.4897667e-01	3.3748432e-01	-1.1492344e+00	-6.8408832e-01	-4.6514606e-01	-1.0947113e-01	5.7461719e-03	3.4323050e-03	1.4334685e-18	3.4323050e-03	-3.4323050e-03
6006           	6.8632839e-01	3.4890888e-01	3.3741951e-01	-1.1489373e+00	-6.8390388e-01	-4.6503344e-01	-1.0943522e-01	5.7446866e-03	3.4316420e-03	1.4334543e-18	3.4316420e-03	-3.4316420e-03
6007           	6.8619383e-01	3.4884009e-01	3.3735374e-01	-1.1486357e+00	-6.8371541e-01	-4.6492033e-01	-1.0939754e-01	5.7431787e-03	3.4309692e-03	1.4416425e-18	3.4309692e-03	-3.4309692e-03
6008           	6.8604469e-01	3.4876388e-01	3.3728081e-01	-1.1483069e+00	-6.8351132e-01	-4.6479562e-01	-1.0935785e-01	5.7415347e-03	3.4302235e-03	1.4439485e-18	3.4302235e-03	-3.4302235e-03
6009           	6.8586658e-01	3.4867292e-01	3.3719366e-01	-1.1479264e+00	-6.8328096e-01	-4.6464545e-01	-1.0931775e-01	5.7396321e-03	3.4293329e-03	1.4436238e-18	3.4293329e-03	-3.4293329e-03
6010           	6.8566154e-01	3.4856826e-01	3.3709328e-01	-1.1474979e+00	-6.8302734e-01	-4.6447052e-01	-1.0927841e-01	5.7374893e-03	3.4283077e-03	1.4373062e-18	3.4283077e-03	-3.4283077e-03
6011           	6.8542259e-01	3.4844634e-01	3.3697624e-01	-1.1470103e+00	-6.8274695e-01	-4.6426331e-01	-1.0924182e-01	5.7350513e-03	3.4271129e-03	1.4362149e-18	3.4271129e-03	-3.4271129e-03
6012           	6.8513927e-01	3.4830187e-01	3.3683740e-01	-1.1464464e+00	-6.8243270e-01	-4.6401368e-01	-1.0920951e-01	5.7322319e-03	3.4256963e-03	1.4277334e-18	3.4256963e-03	-3.4256963e-03
6013           	6.8480161e-01	3.4812975e-01	3.3667185e-01	-1.1457897e+00	-6.8207686e-01	-4.6371280e-01	-1.0918203e-01	5.7289483e-03	3.4240080e-03	1.4280179e-18	3.4240080e-03	-3.4240080e-03
6014           	6.8440967e-01	3.4793004e-01	3.3647963e-01	-1.1450410e+00	-6.8168058e-01	-4.6336039e-01	-1.0916010e-01	5.7252049e-03	3.4220483e-03	1.4354891e-18	3.4220483e-03	-3.4220483e-03
6015           	6.8397000e-01	3.4770606e-01	3.3626394e-01	-1.1442121e+00	-6.8124957e-01	-4.6296253e-01	-1.0914352e-01	5.7210605e-03	3.4198500e-03	1.4381399e-18	3.4198500e-03	-3.4198500e-03
6016           	6.8348941e-01	3.4746128e-01	3.3602813e-01	-1.1433150e+00	-6.8078874e-01	-4.6252627e-01	-1.0913123e-01	5.7165750e-03	3.4174471e-03	1.4361699e-18	3.4174471e-03	-3.4174471e-03
6017           	6.8298189e-01	3.4720281e-01	3.3577908e-01	-1.1423737e+00	-6.8030903e-01	-4.6206466e-01	-1.0912219e-01	5.7118684e-03	3.4149095e-03	1.4340393e-18	3.4149095e-03	-3.4149095e-03
6018           	6.8245780e-01	3.4693593e-01	3.3552187e-01	-1.1414055e+00	-6.7981795e-01	-4.6158759e-01	-1.0911518e-01	5.7070277e-03	3.4122890e-03	1.4333241e-18	3.4122890e-03	-3.4122890e-03
6019           	6.8192814e-01	3.4666622e-01	3.3526192e-01	-1.1404293e+00	-6.7932465e-01	-4.6110464e-01	-1.0911000e-01	5.7021464e-03	3.4096407e-03	1.4328778e-18	3.4096407e-03	-3.4096407e-03
